Name;Brand;Price;URL
Apple 18W USB-C strømadapter (hvit);Not found;349;https://www.elkjop.no/product/data/kabler-og-tilkobling-pc-og-nettverk/17131/apple-18w-usb-c-stromadapter-hvit
Huawei USB-C hurtiglader (hvit);Not found;298;https://www.elkjop.no/product/mobil-og-gps/ladere-og-kabler-til-mobil/vegglader/HUACHAWFCUSBC/huawei-usb-c-hurtiglader-hvit
Panzer skjermbeskytter til iPhone Xs Max/11 Pro Max;Not found;249;https://www.elkjop.no/product/mobil-og-gps/skjermbeskyttere/49718/panzer-skjermbeskytter-til-iphone-xs-max-11-pro-max
Samsung Galaxy S10e skjermbeskytter (gjennomsiktig);Not found;199;https://www.elkjop.no/product/mobil-og-gps/skjermbeskyttere/24272/samsung-galaxy-s10e-skjermbeskytter-gjennomsiktig
MovieMask Go portable kino (sort);Not found;197;https://www.elkjop.no/product/wearables-og-trening/vr-til-mobiltelefon/MOVIEMASKGO/moviemask-go-portable-kino-sort
Panzer skjermbeskytter for Apple Watch 42 mm;Not found;149;https://www.elkjop.no/product/mobil-og-gps/skjermbeskyttere/PANFLEAW42MM/panzer-skjermbeskytter-for-apple-watch-42-mm
Huawei QuickCharger USB type-A vegglader;Not found;149;https://www.elkjop.no/product/mobil-og-gps/ladere-og-kabler-til-mobil/vegglader/HUAWALLMICROW/huawei-quickcharger-usb-type-a-vegglader
Panzer skjermbeskytter til iPhone 7;Not found;249;https://www.elkjop.no/product/mobil-og-gps/skjermbeskyttere/PANGLAIP7/panzer-skjermbeskytter-til-iphone-7
Goji 3D VR-briller til smarttelefon (sort);Not found;399;https://www.elkjop.no/product/wearables-og-trening/vr-til-mobiltelefon/GVRBK17C/goji-3d-vr-briller-til-smarttelefon-sort
Panzer skjermbeskyttelse for iPhone Xs Max/11 Pro Max;Not found;249;https://www.elkjop.no/product/mobil-og-gps/skjermbeskyttere/PANGLAIPX65/panzer-skjermbeskyttelse-for-iphone-xs-max-11-pro-max
Belkin PowerHouse ladestasjon til Apple Watch + iPhone;Not found;999;https://www.elkjop.no/product/mobil-og-gps/ladere-og-kabler-til-mobil/vegglader/14850/belkin-powerhouse-ladestasjon-til-apple-watch-iphone
Lenovo Mirage Star Wars Jedi Challenges AR-headset;Not found;497;https://www.elkjop.no/product/wearables-og-trening/vr-til-mobiltelefon/LENOVOMIRAGE/lenovo-mirage-star-wars-jedi-challenges-ar-headset
Sandstrøm Curved Glass iPhone XR/11 (sort);Not found;399;https://www.elkjop.no/product/mobil-og-gps/skjermbeskyttere/S3DI61BG18/sandstrom-curved-glass-iphone-xr-11-sort
Samsung USB-C vegglader (hvit);Not found;349;https://www.elkjop.no/product/mobil-og-gps/ladere-og-kabler-til-mobil/vegglader/EPTA20EWECGWW/samsung-usb-c-vegglader-hvit
Unisynk Globis ladestasjon (sølv);Not found;1 190;https://www.elkjop.no/product/mobil-og-gps/ladere-og-kabler-til-mobil/vegglader/UCGSCGS1ALUEU/unisynk-globis-ladestasjon-solv
Panzer Full-Fit Motorola One Vision/One Action skjermbeskytter (sort);Not found;299;https://www.elkjop.no/product/mobil-og-gps/skjermbeskyttere/39499/panzer-full-fit-motorola-one-vision-one-action-skjermbeskytter-sort
Apple reiseadapter (hvit);Not found;299;https://www.elkjop.no/product/data/kabler-og-tilkobling-pc-og-nettverk/MD837ZMA/apple-reiseadapter-hvit
Goji Paper 3D VR-briller;Not found;49;https://www.elkjop.no/product/wearables-og-trening/vr-til-mobiltelefon/G6PVR17/goji-paper-3d-vr-briller
Belkin BOOST↑UP lader (hvit);Not found;249;https://www.elkjop.no/product/mobil-og-gps/ladere-og-kabler-til-mobil/vegglader/13552/belkin-boost-up-lader-hvit
Sandstrøm USB-C til Lighting 18 W hurtiglader 1 m;Not found;399;https://www.elkjop.no/product/mobil-og-gps/ladere-og-kabler-til-mobil/vegglader/17643/sandstrom-usb-c-til-lighting-18-w-hurtiglader-1-m
